Activity ID,Activity Status,WBS Code,At Completion Duration(d),Activity Name,Start,Finish,(*)Free Float(d),Total Float,Predecessors,Predecessor Details,Successors,Successor Details,Primary Constraint,Activity Type,Duration Type,Delete This Row
JCQV1670,Not Started,Hercules_15082023-6.5.4.3.2,5,Fermenter - IOQ Documentation Review & Approval,17/04/2024 08:00,23/04/2024 17:00,5,67,JCQV1590,JCQV1590: FS,JCQV1850,JCQV1850: FS,,Task Dependent,Fixed Duration & Units,
JCQV1680,Not Started,Hercules_15082023-6.5.4.3.2,10,Fermenter - CSV Testing,17/04/2024 08:00,30/04/2024 17:00,0,-4,JCQV1590,JCQV1590: FS,"JCQV1950, JCQV1930, JCQV1940","JCQV1950: FS, JCQV1930: FS, JCQV1940: FS",,Task Dependent,Fixed Duration & Units,
JCQV1940,Not Started,Hercules_15082023-6.5.4.3.2,5,Fermenter - CSV Documentation Review & Approval,01/05/2024 08:00,08/05/2024 17:00,5,57,JCQV1680,JCQV1680: FS,JCQV1970,JCQV1970: FS,,Task Dependent,Fixed Duration & Units,
JCQV1950,Not Started,Hercules_15082023-6.5.4.3.2,15,Fermenter - CIP,01/05/2024 08:00,22/05/2024 17:00,0,-4,JCQV1680,JCQV1680: FS,JCQV1990,JCQV1990: FS,,Task Dependent,Fixed Duration & Units,
JCQV1990,Not Started,Hercules_15082023-6.5.4.3.2,15,Fermenter - SIP,23/05/2024 08:00,13/06/2024 17:00,5,-4,JCQV1950,JCQV1950: FS,"JCQV2000, JCQV2040","JCQV2000: FS, JCQV2040: FS",,Task Dependent,Fixed Duration & Units,
JCQV1600,Not Started,Hercules_15082023-6.5.4.3.3,5,S.Autoclave (ExPec) - IOQ Execution,10/04/2024 08:00,16/04/2024 17:00,0,21,"JCQV1490, JCQV1000, JCQV1370, JCQV1210","JCQV1490: FS, JCQV1000: FS, JCQV1370: FS, JCQV1210: FS","JCQV1650, JCQV1700, JCQV1690, JCQV2280, A31190","JCQV1650: FS, JCQV1700: FS, JCQV1690: FS, JCQV2280: FS, A31190: SS",,Task Dependent,Fixed Duration & Units,
JCQV1690,Not Started,Hercules_15082023-6.5.4.3.3,5,S.Autoclave (ExPec) - IOQ Documentation Review & Approval,17/04/2024 08:00,23/04/2024 17:00,5,67,JCQV1600,JCQV1600: FS,JCQV1850,JCQV1850: FS,,Task Dependent,Fixed Duration & Units,
JCQV1700,Not Started,Hercules_15082023-6.5.4.3.3,5,S.Autoclave (ExPec) - CSV Testing,17/04/2024 08:00,23/04/2024 17:00,0,21,JCQV1600,JCQV1600: FS,"JCQV1930, JCQV1890, JCQV1870, JCQV2290","JCQV1930: FS, JCQV1890: FS, JCQV1870: FS, JCQV2290: FS",,Task Dependent,Fixed Duration & Units,
JCQV1870,Not Started,Hercules_15082023-6.5.4.3.3,5,S.Autoclave (ExPec) - CSV Documentation Review & Approval,24/04/2024 08:00,30/04/2024 17:00,10,62,JCQV1700,JCQV1700: FS,JCQV1970,JCQV1970: FS,,Task Dependent,Fixed Duration & Units,
JCQV1890,Not Started,Hercules_15082023-6.5.4.3.3,10,S.Autoclave (ExPec) - Cycle Development,24/04/2024 08:00,08/05/2024 17:00,30,21,JCQV1700,JCQV1700: FS,"JCQV2040, JCQV2000","JCQV2040: FS, JCQV2000: FS",,Task Dependent,Fixed Duration & Units,
JCQV1450,Not Started,Hercules_15082023-6.5.4.3.4,10,Parts Washer (ExPec) - IOQ Execution,03/04/2024 08:00,16/04/2024 17:00,0,16,"JCQV1000, JCQV1060, JCQV1370, JCQV1230","JCQV1000: FS, JCQV1060: FS, JCQV1370: FS, JCQV1230: FS","JCQV1650, JCQV1520, JCQV1510, JCQV2280, A31190","JCQV1650: FS, JCQV1520: FS, JCQV1510: FS, JCQV2280: FS, A31190: SS",,Task Dependent,Fixed Duration & Units,
JCQV1510,Not Started,Hercules_15082023-6.5.4.3.4,5,Parts Washer (ExPec) - IOQ Documentation Review & Approval,17/04/2024 08:00,23/04/2024 17:00,5,67,JCQV1450,JCQV1450: FS,JCQV1850,JCQV1850: FS,,Task Dependent,Fixed Duration & Units,
JCQV1520,Not Started,Hercules_15082023-6.5.4.3.4,10,Parts Washer (ExPec) - CSV Testing,17/04/2024 08:00,30/04/2024 17:00,0,16,JCQV1450,JCQV1450: FS,"JCQV1930, JCQV1820, JCQV1810, JCQV2290","JCQV1930: FS, JCQV1820: FS, JCQV1810: FS, JCQV2290: FS",,Task Dependent,Fixed Duration & Units,
JCQV1810,Not Started,Hercules_15082023-6.5.4.3.4,5,Parts Washer (ExPec) - CSV Documentation Review & Approval,01/05/2024 08:00,08/05/2024 17:00,5,57,JCQV1520,JCQV1520: FS,JCQV1970,JCQV1970: FS,,Task Dependent,Fixed Duration & Units,
JCQV1820,Not Started,Hercules_15082023-6.5.4.3.4,10,Parts Washer (ExPec) - Cycle Development,01/05/2024 08:00,15/05/2024 17:00,25,16,JCQV1520,JCQV1520: FS,"JCQV2040, JCQV2000","JCQV2040: FS, JCQV2000: FS",,Task Dependent,Fixed Duration & Units,
JCQV1610,Not Started,Hercules_15082023-6.5.4.3.5,5,D.Autoclave - Verification Run,10/04/2024 08:00,16/04/2024 17:00,0,31,"JCQV1490, JCQV1000, JCQV1150, JCQV1360","JCQV1490: FS, JCQV1000: FS, JCQV1150: FS, JCQV1360: FS","JCQV1650, JCQV1720, JCQV1710, JCQV2280","JCQV1650: FS, JCQV1720: FS, JCQV1710: FS, JCQV2280: FS",,Task Dependent,Fixed Duration & Units,
JCQV1720,Not Started,Hercules_15082023-6.5.4.3.5,0,D.Autoclave - CSV Testing,17/04/2024 08:00,17/04/2024 08:00,0,31,JCQV1610,JCQV1610: FS,"JCQV1930, JCQV1730, JCQV2290","JCQV1930: FS, JCQV1730: FS, JCQV2290: FS",,Task Dependent,Fixed Duration & Units,
JCQV1730,Not Started,Hercules_15082023-6.5.4.3.5,0,D.Autoclave - CSV Documentation Review & Approval,17/04/2024 08:00,17/04/2024 08:00,20,72,JCQV1720,JCQV1720: FS,JCQV1970,JCQV1970: FS,,Task Dependent,Fixed Duration & Units,
JCQV1710,Not Started,Hercules_15082023-6.5.4.3.5,5,D.Autoclave - Verification Run Documentation Review & Approval,17/04/2024 08:00,23/04/2024 17:00,5,67,JCQV1610,JCQV1610: FS,JCQV1850,JCQV1850: FS,,Task Dependent,Fixed Duration & Units,
JCQV1620,Not Started,Hercules_15082023-6.5.4.3.6,5,AEKTA - IOQ Execution,10/04/2024 08:00,16/04/2024 17:00,0,26,"JCQV1220, JCQV1060, JCQV1490, JCQV1000, JCQV1370","JCQV1220: FS, JCQV1060: FS, JCQV1490: FS, JCQV1000: FS, JCQV1370: FS","JCQV1650, JCQV1750, JCQV1740, JCQV2280, A31190","JCQV1650: FS, JCQV1750: FS, JCQV1740: FS, JCQV2280: FS, A31190: SS",,Task Dependent,Fixed Duration & Units,
JCQV1740,Not Started,Hercules_15082023-6.5.4.3.6,5,AEKTA - IOQ Documentation Review & Approval,17/04/2024 08:00,23/04/2024 17:00,5,67,JCQV1620,JCQV1620: FS,JCQV1850,JCQV1850: FS,,Task Dependent,Fixed Duration & Units,
JCQV1750,Not Started,Hercules_15082023-6.5.4.3.6,5,AEKTA - CSV Testing (Unicorn Only - All remaining covered by Supplier),17/04/2024 08:00,23/04/2024 17:00,0,26,JCQV1620,JCQV1620: FS,"JCQV1930, JCQV1880, JCQV2290","JCQV1930: FS, JCQV1880: FS, JCQV2290: FS",,Task Dependent,Fixed Duration & Units,
JCQV1880,Not Started,Hercules_15082023-6.5.4.3.6,5,AEKTA - CSV Documentation Review & Approval,24/04/2024 08:00,30/04/2024 17:00,10,62,JCQV1750,JCQV1750: FS,JCQV1970,JCQV1970: FS,,Task Dependent,Fixed Duration & Units,
JCQV1460,Not Started,Hercules_15082023-6.5.4.3.7,10,Parts Washer (F&F) - IOQ Execution,03/04/2024 08:00,16/04/2024 17:00,0,11,"JCQV1000, JCQV1060, JCQV1370, JCQV1230","JCQV1000: FS, JCQV1060: FS, JCQV1370: FS, JCQV1230: FS","JCQV1650, JCQV1540, JCQV1530, JCQV2280, A31190","JCQV1650: FS, JCQV1540: FS, JCQV1530: FS, JCQV2280: FS, A31190: SS",,Task Dependent,Fixed Duration & Units,
JCQV1530,Not Started,Hercules_15082023-6.5.4.3.7,5,Parts Washer (F&F) - IOQ Documentation Review & Approval,17/04/2024 08:00,23/04/2024 17:00,5,67,JCQV1460,JCQV1460: FS,JCQV1850,JCQV1850: FS,,Task Dependent,Fixed Duration & Units,
JCQV1540,Not Started,Hercules_15082023-6.5.4.3.7,10,Parts Washer (F&F) - CSV Testing,17/04/2024 08:00,30/04/2024 17:00,0,11,JCQV1460,JCQV1460: FS,"JCQV1930, JCQV1840, JCQV1830, JCQV2290","JCQV1930: FS, JCQV1840: FS, JCQV1830: FS, JCQV2290: FS",,Task Dependent,Fixed Duration & Units,
JCQV1830,Not Started,Hercules_15082023-6.5.4.3.7,5,Parts Washer (F&F) - CSV Documentation Review & Approval,01/05/2024 08:00,08/05/2024 17:00,5,57,JCQV1540,JCQV1540: FS,JCQV1970,JCQV1970: FS,,Task Dependent,Fixed Duration & Units,
JCQV1840,Not Started,Hercules_15082023-6.5.4.3.7,10,Parts Washer (F&F) - Cycle Development,01/05/2024 08:00,15/05/2024 17:00,0,11,JCQV1540,JCQV1540: FS,"JCQV2040, JCQV2000, JCQV2270","JCQV2040: FS, JCQV2000: FS, JCQV2270: FS",,Task Dependent,Fixed Duration & Units,
JCQV1310,Not Started,Hercules_15082023-6.5.4.3.8,0,Balances - In Final location,,29/08/2023 08:00,0,174,"JCQV1340, JCQV1250, JCQV1240","JCQV1340: FS, JCQV1250: FS, JCQV1240: FS",JCQV1330,JCQV1330: FS,Finish On or After,Finish Milestone,Fixed Duration and Units/Time,
JCQV1330,Not Started,Hercules_15082023-6.5.4.3.8,3,Balances - Calibration,29/08/2023 08:00,31/08/2023 17:00,86,174,JCQV1310,JCQV1310: FS,JCQV1380,JCQV1380: FS,,Task Dependent,Fixed Duration & Units,
JCQV1380,Not Started,Hercules_15082023-6.5.4.3.8,5,Balances - IOQ Execution,12/01/2024 16:00,19/01/2024 16:00,0,88,"JCQV1000, JCQV1330","JCQV1000: FS, JCQV1330: FS","JCQV1650, JCQV1430, JCQV1420, JCQV2280, A31190","JCQV1650: FS, JCQV1430: FS, JCQV1420: FS, JCQV2280: FS, A31190: SS",,Task Dependent,Fixed Duration & Units,
JCQV1430,Not Started,Hercules_15082023-6.5.4.3.8,3,Balances - CSV Testing,19/01/2024 16:00,24/01/2024 16:00,0,88,JCQV1380,JCQV1380: FS,"JCQV1930, JCQV1440, JCQV2290","JCQV1930: FS, JCQV1440: FS, JCQV2290: FS",,Task Dependent,Fixed Duration & Units,
JCQV1420,Not Started,Hercules_15082023-6.5.4.3.8,5,Balances - IOQ Documentation Review & Approval,19/01/2024 16:00,26/01/2024 16:00,65,127,JCQV1380,JCQV1380: FS,JCQV1850,JCQV1850: FS,,Task Dependent,Fixed Duration & Units,
JCQV1440,Not Started,Hercules_15082023-6.5.4.3.8,5,Balances - CSV Documentation Review & Approval,24/01/2024 16:00,31/01/2024 16:00,72,124,JCQV1430,JCQV1430: FS,JCQV1970,JCQV1970: FS,,Task Dependent,Fixed Duration & Units,
JCQV1320,Not Started,Hercules_15082023-6.5.4.3.9,0,Freezers - MC,,29/08/2023 08:00,139,175,"JCQV1340, JCQV1250, JCQV1240","JCQV1340: FS, JCQV1250: FS, JCQV1240: FS",JCQV1400,JCQV1400: FS,Finish On or After,Finish Milestone,Fixed Duration and Units/Time,
JCQV1400,Not Started,Hercules_15082023-6.5.4.3.9,10,Freezers - IOPQ Execution (Inc. Mapping),25/03/2024 08:00,09/04/2024 17:00,0,36,"JCQV1000, JCQV1360, JCQV1370, JCQV1320","JCQV1000: FS, JCQV1360: FS, JCQV1370: FF, JCQV1320: FS","JCQV1650, JCQV1500, JCQV2280","JCQV1650: FS, JCQV1500: FS, JCQV2280: FS",,Task Dependent,Fixed Duration & Units,
JCQV1500,Not Started,Hercules_15082023-6.5.4.3.9,5,Freezers - IOPQ Documentation Review & Approval,10/04/2024 08:00,16/04/2024 17:00,10,72,JCQV1400,JCQV1400: FS,JCQV1850,JCQV1850: FS,,Task Dependent,Fixed Duration & Units,
JCQV2010,Not Started,Hercules_15082023-6.5.4.4.1,10,Cleanroom - OQ Execution (Expec & LVHD),21/06/2024 08:00,04/07/2024 17:00,0,-9,JCQV2000,JCQV2000: FS,"JCQV2020, JCQV2210","JCQV2020: FS, JCQV2210: FS",,Task Dependent,Fixed Duration & Units,
JCQV2030,Not Started,Hercules_15082023-6.5.4.4.1,5,Go White (Expec & LVHD),01/07/2024 08:00,08/07/2024 08:00,25,25,JCQV2080,JCQV2080: SF,,,,Task Dependent,Fixed Duration & Units,
JCQV2210,Not Started,Hercules_15082023-6.5.4.4.1,1,Cleanroom - OQ Interim Report Available (Expec & LVHD) - Approach to be agreed with Vendor,05/07/2024 08:00,05/07/2024 17:00,0,-9,JCQV2010,JCQV2010: FS,JCQV2040,JCQV2040: FS,,Task Dependent,Fixed Duration & Units,
JCQV2020,Not Started,Hercules_15082023-6.5.4.4.1,10,Cleanroom - OQ Documentation Review & Approval (Expec & LVHD),05/07/2024 08:00,18/07/2024 17:00,6,-3,JCQV2010,JCQV2010: FS,JCQV2080,JCQV2080: FF,,Task Dependent,Fixed Duration & Units,
JCQV2080,Not Started,Hercules_15082023-6.5.4.4.1,15,Cleanroom - PQ Execution (Expec & LVHD),08/07/2024 08:00,26/07/2024 17:00,0,-9,"JCQV2060, JCQV2020","JCQV2060: FS, JCQV2020: FF","JCQV2140, JCQV2030, JCQV2150, JCQV2230, JCQV2220","JCQV2140: FS, JCQV2030: SF, JCQV2150: FS, JCQV2230: FS, JCQV2220: FS",,Task Dependent,Fixed Duration & Units,
JCQV2150,Not Started,Hercules_15082023-6.5.4.4.1,10,Cleanroom - PQ Documentation Review & Approval  (Expec & LVHD) (Inc. Environmental Monitoring Results),29/07/2024 08:00,13/08/2024 17:00,0,-9,JCQV2080,JCQV2080: FS,"JCQV2180, JCQV2230, JCQV2220","JCQV2180: FS, JCQV2230: FS, JCQV2220: FS",,Task Dependent,Fixed Duration & Units,
JCQV2300,Not Started,Hercules_15082023-6.5.4.4.2,15,Cleanroom - OQ Execution (F&F),16/05/2024 08:00,06/06/2024 17:00,0,11,JCQV2270,JCQV2270: FS,"JCQV2320, JCQV2310","JCQV2320: FS, JCQV2310: FS",,Task Dependent,Fixed Duration & Units,
JCQV2370,Not Started,Hercules_15082023-6.5.4.4.2,5,Go White (F&F),03/06/2024 08:00,10/06/2024 08:00,45,45,JCQV2260,JCQV2260: SF,,,,Task Dependent,Fixed Duration & Units,
JCQV2310,Not Started,Hercules_15082023-6.5.4.4.2,1,Cleanroom - OQ Interim Report Available (F&F) - Approach to be agreed with Vendor,07/06/2024 08:00,07/06/2024 17:00,0,11,JCQV2300,JCQV2300: FS,JCQV2330,JCQV2330: FS,,Task Dependent,Fixed Duration & Units,
JCQV2320,Not Started,Hercules_15082023-6.5.4.4.2,10,Cleanroom - OQ Documentation Review & Approval (F&F),07/06/2024 08:00,20/06/2024 17:00,6,17,JCQV2300,JCQV2300: FS,JCQV2260,JCQV2260: FF,,Task Dependent,Fixed Duration & Units,
JCQV2260,Not Started,Hercules_15082023-6.5.4.4.2,15,Cleanroom - PQ Execution (F&F Area),10/06/2024 08:00,28/06/2024 17:00,0,11,"JCQV2330, JCQV2320","JCQV2330: FS, JCQV2320: FF","JCQV2370, JCQV2350, JCQV2340, JCQV2240","JCQV2370: SF, JCQV2350: FS, JCQV2340: FS, JCQV2240: FS",,Task Dependent,Fixed Duration & Units,
JCQV2350,Not Started,Hercules_15082023-6.5.4.4.2,10,Cleanroom - PQ Documentation Review & Approval  (F&F) (Inc. Environmental Monitoring Results),01/07/2024 08:00,12/07/2024 17:00,0,11,JCQV2260,JCQV2260: FS,"JCQV2360, JCQV2240, JCQV2400","JCQV2360: FS, JCQV2240: FS, JCQV2400: FS",,Task Dependent,Fixed Duration & Units,
JCQV1110,Not Started,Hercules_15082023-6.5.4.5,0,[MS] All Clean Utilities Commissioned,,23/02/2024 17:00,116,107,"JCQV1050, JCQV1030, JCQV1020, JCQV1070, JCQV1130","JCQV1050: FS, JCQV1030: FS, JCQV1020: FS, JCQV1070: FS, JCQV1130: FS","JCQV2380, JCQV2450","JCQV2380: FS, JCQV2450: FF",,Finish Milestone,Fixed Duration and Units/Time,
JCQV1470,Not Started,Hercules_15082023-6.5.4.5,0,[MS] HVAC Balancing Complete (ExPec),,05/04/2024 17:00,88,79,JCQV1480,JCQV1480: FS,"JCQV2380, JCQV2450","JCQV2380: FS, JCQV2450: FF",,Finish Milestone,Fixed Duration and Units/Time,
JCQV1790,Not Started,Hercules_15082023-6.5.4.5,0,[MS] HVAC Balancing Complete (LVHD & F&F),,05/04/2024 17:00,88,79,JCQV1800,JCQV1800: FS,"JCQV2380, JCQV2450","JCQV2380: FS, JCQV2450: FF",,Finish Milestone,Fixed Duration and Units/Time,
JCQV1550,Not Started,Hercules_15082023-6.5.4.5,0,[MS] All Utilities IOQ Execution Complete,,09/04/2024 17:00,86,77,"JCQV1040, JCQV1140, JCQV1490, JCQV1060","JCQV1040: FS, JCQV1140: FS, JCQV1490: FS, JCQV1060: FS","JCQV2380, JCQV2450","JCQV2380: FS, JCQV2450: FF",,Finish Milestone,Fixed Duration and Units/Time,
JCQV1660,Not Started,Hercules_15082023-6.5.4.5,0,[MS] All Utilities IOQ Documentation Review & Approved,,16/04/2024 17:00,81,72,"JCQV1080, JCQV1170, JCQV1630, JCQV1120","JCQV1080: FS, JCQV1170: FS, JCQV1630: FS, JCQV1120: FS","JCQV2380, JCQV2450","JCQV2380: FS, JCQV2450: FF",,Finish Milestone,Fixed Duration and Units/Time,
JCQV2280,Not Started,Hercules_15082023-6.5.4.5,0,[MS] All Equipment IOQ Execution Complete (Exc. Fermenter & Centrifuge),,16/04/2024 17:00,20,31,"JCQV1640, JCQV1460, JCQV1260, JCQV1400, JCQV1380, JCQV1620, JCQV1610, JCQV1450, JCQV1600","JCQV1640: FS, JCQV1460: FS, JCQV1260: FS, JCQV1400: FS, JCQV1380: FS, JCQV1620: FS, JCQV1610: FS, JCQV1450: FS, JCQV1600: FS","JCQV2270, JCQV2450","JCQV2270: FS, JCQV2450: FF",,Finish Milestone,Fixed Duration and Units/Time,
JCQV1650,Not Started,Hercules_15082023-6.5.4.5,0,[MS] All Equipment IOQ Execution Complete,,23/04/2024 17:00,40,31,"JCQV1640, JCQV1460, JCQV1260, JCQV1400, JCQV1380, JCQV1620, JCQV1610, JCQV1450, JCQV1600, JCQV1590, JCQV1560","JCQV1640: FS, JCQV1460: FS, JCQV1260: FS, JCQV1400: FS, JCQV1380: FS, JCQV1620: FS, JCQV1610: FS, JCQV1450: FS, JCQV1600: FS, JCQV1590: FS, JCQV1560: FS","JCQV2000, JCQV2040, JCQV2450","JCQV2000: FS, JCQV2040: FS, JCQV2450: FF",,Finish Milestone,Fixed Duration and Units/Time,
JCQV1850,Not Started,Hercules_15082023-6.5.4.5,0,[MS] All Equipment IOQ Documentation Review & Approved,,30/04/2024 17:00,71,62,"JCQV1770, JCQV1530, JCQV1300, JCQV1710, JCQV1690, JCQV1670, JCQV1510, JCQV1570, JCQV1740, JCQV1500, JCQV1420","JCQV1770: FS, JCQV1530: FS, JCQV1300: FS, JCQV1710: FS, JCQV1690: FS, JCQV1670: FS, JCQV1510: FS, JCQV1570: FS, JCQV1740: FS, JCQV1500: FS, JCQV1420: FS","JCQV2380, JCQV2450","JCQV2380: FS, JCQV2450: FF",,Finish Milestone,Fixed Duration and Units/Time,
JCQV2290,Not Started,Hercules_15082023-6.5.4.5,0,[MS] All Equipment CSV Testing Complete (Exc. Fermenter & Centrifuge),,30/04/2024 17:00,10,21,"JCQV1780, JCQV1540, JCQV1430, JCQV1750, JCQV1720, JCQV1520, JCQV1700","JCQV1780: FS, JCQV1540: FS, JCQV1430: FS, JCQV1750: FS, JCQV1720: FS, JCQV1520: FS, JCQV1700: FS","JCQV2270, JCQV2450","JCQV2270: FS, JCQV2450: FF",,Finish Milestone,Fixed Duration and Units/Time,
JCQV1930,Not Started,Hercules_15082023-6.5.4.5,0,[MS] All Equipment CSV Testing Complete,,08/05/2024 17:00,30,21,"JCQV1780, JCQV1540, JCQV1430, JCQV1750, JCQV1720, JCQV1520, JCQV1700, JCQV1680, JCQV1580","JCQV1780: FS, JCQV1540: FS, JCQV1430: FS, JCQV1750: FS, JCQV1720: FS, JCQV1520: FS, JCQV1700: FS, JCQV1680: FS, JCQV1580: FS","JCQV2000, JCQV2040, JCQV2450","JCQV2000: FS, JCQV2040: FS, JCQV2450: FF",,Finish Milestone,Fixed Duration and Units/Time,
JCQV1960,Not Started,Hercules_15082023-6.5.4.5,0,[MS] All Utilities PQ Complete,,08/05/2024 17:00,41,32,"JCQV1090, JCQV1760, JCQV1160, JCQV1190","JCQV1090: FS, JCQV1760: FS, JCQV1160: FS, JCQV1190: FS","JCQV2040, JCQV2450","JCQV2040: FS, JCQV2450: FF",,Finish Milestone,Fixed Duration and Units/Time,
JCQV1970,Not Started,Hercules_15082023-6.5.4.5,0,[MS] All Equipment CSV Documentation Review & Approved,,15/05/2024 17:00,61,52,"JCQV1910, JCQV1830, JCQV1730, JCQV1870, JCQV1940, JCQV1810, JCQV1860, JCQV1880, JCQV1440","JCQV1910: FS, JCQV1830: FS, JCQV1730: FS, JCQV1870: FS, JCQV1940: FS, JCQV1810: FS, JCQV1860: FS, JCQV1880: FS, JCQV1440: FS","JCQV2380, JCQV2450","JCQV2380: FS, JCQV2450: FF",,Finish Milestone,Fixed Duration and Units/Time,
JCQV2270,Not Started,Hercules_15082023-6.5.4.5,0,[MS] Ready for Room OQ (F&F),,15/05/2024 17:00,0,11,"JCQV1840, JCQV1920, JCQV2280, JCQV2290, JCQV1800","JCQV1840: FS, JCQV1920: FS, JCQV2280: FS, JCQV2290: FS, JCQV1800: FS","JCQV2300, JCQV2450","JCQV2300: FS, JCQV2450: FF",,Finish Milestone,Fixed Duration and Units/Time,
JCQV2330,Not Started,Hercules_15082023-6.5.4.5,0,[MS] Start Cleanroom PQ (F&F),,07/06/2024 17:00,0,11,JCQV2310,JCQV2310: FS,"JCQV2390, JCQV2260, JCQV2450","JCQV2390: FS, JCQV2260: FS, JCQV2450: FF",,Finish Milestone,Fixed Duration and Units/Time,
JCQV2390,Not Started,Hercules_15082023-6.5.4.5,0,[MS] Start Equipment PQ (F&F),,07/06/2024 17:00,0,16,JCQV2330,JCQV2330: FS,"JCQV2200, JCQV2190, JCQV2450","JCQV2200: FS, JCQV2190: FS, JCQV2450: FF",,Finish Milestone,Fixed Duration and Units/Time,
JCQV2000,Not Started,Hercules_15082023-6.5.4.5,0,[MS] Ready for Room OQ (Expec & LVHD),,20/06/2024 17:00,0,-9,"JCQV1920, JCQV1840, JCQV1980, JCQV1890, JCQV1820, JCQV1990, JCQV1930, JCQV1650, JCQV1800, JCQV1480","JCQV1920: FS, JCQV1840: FS, JCQV1980: FS, JCQV1890: FS, JCQV1820: FS, JCQV1990: FS, JCQV1930: FS, JCQV1650: FS, JCQV1800: FS, JCQV1480: FS","JCQV2010, JCQV2450","JCQV2010: FS, JCQV2450: FF",,Finish Milestone,Fixed Duration and Units/Time,
JCQV2340,Not Started,Hercules_15082023-6.5.4.5,0,[MS] Cleanroom PQ Execution Complete (F&F),,28/06/2024 17:00,30,21,JCQV2260,JCQV2260: FS,"JCQV2380, JCQV2450","JCQV2380: FS, JCQV2450: FF",,Finish Milestone,Fixed Duration and Units/Time,
JCQV2040,Not Started,Hercules_15082023-6.5.4.5,0,[MS] All Pre-Requisites for Engineering Runs Complete,,05/07/2024 17:00,0,-9,"JCQV1920, JCQV1840, JCQV1890, JCQV1820, JCQV1990, JCQV1980, JCQV1960, JCQV1410, JCQV1930, JCQV1650, JCQV2210","JCQV1920: FS, JCQV1840: FS, JCQV1890: FS, JCQV1820: FS, JCQV1990: FS, JCQV1980: FS, JCQV1960: FS, JCQV1410: FS, JCQV1930: FS, JCQV1650: FS, JCQV2210: FS","JCQV2050, JCQV2060, JCQV2070, JCQV2450","JCQV2050: FS, JCQV2060: FS, JCQV2070: FS, JCQV2450: FF",,Finish Milestone,Fixed Duration and Units/Time,
JCQV2050,Not Started,Hercules_15082023-6.5.4.5,0,[MS] Start Equipment PQ (Expec & LVHD),,05/07/2024 17:00,0,-4,JCQV2040,JCQV2040: FS,"JCQV2130, JCQV2120, JCQV2110, JCQV2100, JCQV2090, JCQV2450","JCQV2130: FS, JCQV2120: FS, JCQV2110: FS, JCQV2100: FS, JCQV2090: FS, JCQV2450: FF",,Finish Milestone,Fixed Duration and Units/Time,
JCQV2060,Not Started,Hercules_15082023-6.5.4.5,0,[MS] Start Cleanroom PQ (Expec & LVHD),,05/07/2024 17:00,0,-9,JCQV2040,JCQV2040: FS,"JCQV2080, JCQV2450","JCQV2080: FS, JCQV2450: FF",,Finish Milestone,Fixed Duration and Units/Time,
JCQV2240,Not Started,Hercules_15082023-6.5.4.5,0,[MS] GMP Readiness - F&F,,12/07/2024 17:00,20,11,"JCQV2350, JCQV2260","JCQV2350: FS, JCQV2260: FS","JCQV2380, JCQV2450","JCQV2380: FS, JCQV2450: FF",,Finish Milestone,Fixed Duration and Units/Time,
JCQV2360,Not Started,Hercules_15082023-6.5.4.5,0,[MS] Cleanroom PQ - Report Available (F&F),,12/07/2024 17:00,20,11,JCQV2350,JCQV2350: FS,"JCQV2380, JCQV2450","JCQV2380: FS, JCQV2450: FF",,Finish Milestone,Fixed Duration and Units/Time,
JCQV2140,Not Started,Hercules_15082023-6.5.4.5,0,[MS] Cleanroom PQ Execution Complete (Expec & LVHD),,26/07/2024 17:00,10,1,JCQV2080,JCQV2080: FS,"JCQV2380, JCQV2450","JCQV2380: FS, JCQV2450: FF",,Finish Milestone,Fixed Duration and Units/Time,
JCQV2160,Not Started,Hercules_15082023-6.5.4.5,0,[MS] All Equipment PQ Complete,,06/08/2024 17:00,5,-4,"JCQV2200, JCQV2190, JCQV2130, JCQV2120, JCQV2110, JCQV2100, JCQV2090","JCQV2200: FS, JCQV2190: FS, JCQV2130: FS, JCQV2120: FS, JCQV2110: FS, JCQV2100: FS, JCQV2090: FS","JCQV2380, JCQV2450","JCQV2380: FS, JCQV2450: FF",,Finish Milestone,Fixed Duration and Units/Time,
JCQV2180,Not Started,Hercules_15082023-6.5.4.5,0,[MS] Cleanroom PQ - Report Available (Expec & LVHD),,13/08/2024 17:00,0,-9,JCQV2150,JCQV2150: FS,"JCQV2380, JCQV2450","JCQV2380: FF, JCQV2450: FF",,Finish Milestone,Fixed Duration and Units/Time,
